metric_code,metric_name,metric_desc,supported_dimensions,usage_restrictions
cost,消耗,广告消耗金额,"day,promotionTarget,channel,advertiser,campaign,task,media,mediaPosition,industry,region",需要指定时间范围
leads,线索量,获取的线索数量,"day,promotionTarget,channel,landingPage,advertiser,campaign,task,conversionGoal,region,carBrand,carModel",
impressions,展现量,广告展现次数,"day,promotionTarget,channel,creative,advertiser,campaign,task,media,mediaPosition,device,region,age,gender",
clicks,点击量,广告点击次数,"day,promotionTarget,channel,creative,advertiser,campaign,task,media,mediaPosition,device,region,age,gender",
ctr,点击率,点击量/展现量,"day,promotionTarget,channel,advertiser,campaign,task,media,region",自动计算指标
cvr,转化率,转化量/点击量,"day,promotionTarget,landingPage,advertiser,campaign,task,conversionGoal",自动计算指标
conversions,转化量,发生转化的次数,"day,promotionTarget,channel,landingPage,advertiser,campaign,task,conversionGoal,region",
cpc,点击成本,消耗/点击量,"day,promotionTarget,channel,advertiser,campaign,task,media,region",自动计算指标
cpm,千次展现成本,消耗/展现量*1000,"day,promotionTarget,channel,advertiser,campaign,task,media,region",自动计算指标
cpa,转化成本,消耗/转化量,"day,promotionTarget,channel,advertiser,campaign,task,conversionGoal,region",自动计算指标
roi,投资回报率,转化价值/消耗,"day,promotionTarget,advertiser,campaign,task,industry",需要转化价值数据
requests,广告请求量,广告请求次数,"day,media,mediaPosition,trafficPosition,device,region",
fills,广告填充量,广告填充次数,"day,advertiser,campaign,task,media,mediaPosition",
fillRate,填充率,填充量/请求量,"day,media,mediaPosition,advertiser,campaign,task",自动计算指标
downloads,下载量,APP下载次数,"day,promotionTarget,channel,advertiser,campaign,task,device,region",仅APP推广
installs,安装量,APP安装次数,"day,promotionTarget,channel,advertiser,campaign,task,device,region",仅APP推广
activations,激活量,APP激活次数,"day,promotionTarget,advertiser,campaign,task,device",仅APP推广
registrations,注册量,用户注册次数,"day,promotionTarget,landingPage,advertiser,campaign,task,region",
purchases,购买量,购买转化次数,"day,promotionTarget,landingPage,advertiser,campaign,task,region,age,gender",
revenue,收入,广告带来的收入,"day,promotionTarget,advertiser,campaign,task,industry,region",
avgDuration,平均停留时长,落地页平均停留时长(秒),"day,landingPage,promotionTarget,device",
bounceRate,跳出率,落地页跳出率,"day,landingPage,promotionTarget,device,region",
deepConversions,深度转化量,深度转化次数,"day,promotionTarget,advertiser,campaign,task,conversionGoal",
shallowConversions,浅层转化量,浅层转化次数,"day,promotionTarget,advertiser,campaign,task,conversionGoal",
videoViews,视频播放量,视频广告播放次数,"day,creative,promotionTarget,channel,device",仅视频广告
videoCompletions,视频完播量,视频广告完整播放次数,"day,creative,promotionTarget,channel,device",仅视频广告
videoCompletionRate,视频完播率,完播量/播放量,"day,creative,promotionTarget,channel",自动计算指标
