dimension_code,dimension_name,dimension_desc,value_examples
day,日期,按天统计,"2026-01-01,2026-01-02"
promotionTarget,推广对象,广告推广的目标对象,"元保保险,某汽车品牌A"
channel,渠道,广告投放渠道,"信息流,搜索,开屏"
landingPage,落地页,广告点击后的落地页,"https://example.com/page1"
creative,创意,广告创意素材ID,"creative_001,creative_002"
device,设备,用户设备类型,"android,ios"
advertiser,广告主,广告主账户,"advertiser_001,advertiser_002"
campaign,广告计划,广告计划ID,"campaign_001,campaign_002"
task,广告任务,广告任务ID,"task_001,task_002"
media,媒体,投放媒体平台,"华为浏览器,华为视频,华为音乐"
mediaPosition,媒体版位,媒体版位类型,"信息流版位,搜索版位,开屏版位"
trafficPosition,流量位,具体流量位置,"首页信息流,详情页底部"
industry,行业,推广对象所属行业,"汽车,保险,电商,教育"
conversionGoal,转化目标,广告转化目标类型,"下载,注册,购买,线索"
bidStrategy,出价策略,出价策略类型,"CPC,CPM,CPA,oCPC"
targetAudience,目标受众,受众定向标签,"年轻女性,有车一族,高收入人群"
region,地域,投放地域,"北京,上海,广东,全国"
age,年龄,用户年龄段,"18-24,25-34,35-44,45+"
gender,性别,用户性别,"男,女,未知"
carBrand,汽车品牌,汽车品牌名称,"问界,比亚迪,特斯拉,理想"
carModel,汽车车型,具体车型,"M7,M9,汉,唐,Model Y"
contentType,内容类型,浏览内容类型,"汽车资讯,汽车评测,汽车报价"
searchIntent,搜索意图,搜索意图分类,"品牌搜索,价格搜索,参数搜索"
userScenario,用户场景,用户所处场景,"出行,购物,工作,娱乐"
timeSlot,时段,时间段划分,"早晨,中午,晚上,凌晨"
weekday,星期,星期几,"周一,周二,周三,周四,周五,周六,周日"
