user_id,car_name,power_type,body_type,car_price_band,car_size_level,brand_camp
张三,比亚迪汉,纯电动,轿车,20-30万,中型(B),自主品牌
张三,丰田汉兰达,传统燃油,SUV,30-50万,中大型(C),合资品牌
李四,比亚迪汉,纯电动,轿车,20-30万,中型(B),自主品牌
李四,奥迪Q2L,传统燃油,SUV,20-30万,紧凑型(A),传统豪华品牌
王五,理想L9,增程式,SUV,30-50万,中大型(C),造车新势力
王五,丰田汉兰达,传统燃油,SUV,30-50万,中大型(C),合资品牌
赵六,理想L9,增程式,SUV,30-50万,中大型(C),造车新势力
赵六,丰田汉兰达,传统燃油,SUV,30-50万,中大型(C),合资品牌
孙七,理想L9,增程式,SUV,30-50万,中大型(C),造车新势力
陈八,比亚迪宋Plus,插电式混合动力,SUV,20-30万,紧凑型(A),自主品牌
陈八,本田CR-V,传统燃油,SUV,20-30万,紧凑型(A),合资品牌
周九,别克GL8,传统燃油,MPV,30-50万,中大型(C),合资品牌
周九,丰田汉兰达,传统燃油,SUV,30-50万,中大型(C),合资品牌
吴十,特斯拉Model S,纯电动,轿车,50-100万,中大型(C),造车新势力
吴十,宝马5系,传统燃油,轿车,30-50万,中型(B),传统豪华品牌
